Comments,Word,Wordlength,Lexicality,Length,Morphology,Condition,Phonemes,n_phonemes,n_syllables,Difference Phonemes Letters,Levenshtein Distance,normalized_levenshtein_dist,Affix_Freq,Comments
,sapis,5,pseudo,short,simple,PSS,sapi,4,2,1,1,0.2,N/A,
ok,buide,5,pseudo,short,simple,PSS,byid,4,1,1,1,0.2,N/A,
yes,nèche,5,pseudo,short,simple,PSS,nɛʃ,3,1,2,1,0.2,N/A,
yes,pingle,6,pseudo,short,simple,PSS,pɛ̃ɡl,5,1,1,1,0.1666666667,N/A,
yes,rivide,6,pseudo,short,simple,PSS,ʁivid,5,2,1,1,0.1666666667,N/A,
yes (or feminine?),lacèle,6,pseudo,short,simple,PSS,lasɛl,5,2,1,2,0.3333333333,N/A,
"yes (maybe from ""otal""?)",otalie,6,pseudo,short,simple,PSS,otali,5,2,1,1,0.1666666667,N/A,
yes,berlue,6,pseudo,short,simple,PSS,bɛʁly,5,2,1,2,0.3333333333,N/A,
,nacule,6,pseudo,short,simple,PSS,nakyl,5,2,1,2,0.3333333333,N/A,
yes,effala,6,pseudo,short,simple,PSS,efala,5,3,1,2,0.3333333333,N/A,
,tésin,6,pseudo,short,simple,PSS,tezɛ̃,4,2,2,2,0.3333333333,N/A,
yes,plivie,6,pseudo,short,simple,PSS,plivi,5,2,1,2,0.3333333333,N/A,
,arcove,6,pseudo,short,simple,PSS,aʁkɔv,5,2,1,2,0.3333333333,N/A,
yes,pacheril,8,pseudo,long,simple,PLS,paʃʁil,6,3,2,3,0.375,N/A,
yes,rancolat,8,pseudo,long,simple,PLS,ʁɑ̃kola,7,3,1,3,0.375,N/A,
yes,carluque,8,pseudo,long,simple,PLS,kaʁlyk,6,2,2,2,0.25,N/A,
yes,chalgame,8,pseudo,long,simple,PLS,ʃalɡam,6,2,2,2,0.25,N/A,
yes,héricole,8,pseudo,long,simple,PLS,eʁikɔl,6,3,2,2,0.25,N/A,
yes,fribuste,8,pseudo,long,simple,PLS,fʁibyst,7,2,1,2,0.25,N/A,
,neunièle,8,pseudo,long,simple,PLS,nønjɛl,5,2,3,2,0.25,N/A,
,frémoule,8,pseudo,long,simple,PLS,fʁəmul,6,2,2,3,0.375,N/A,
feminine?,roupiote,8,pseudo,long,simple,PLS,ʁupjɔt,6,2,2,3,0.375,N/A,
ok,cibourot,8,pseudo,long,simple,PLS,sibuʁo,6,3,2,3,0.375,N/A,
yes,aubedulle,9,pseudo,long,simple,PLS,obdyl,5,3,4,3,0.3333333333,N/A,
yes,dingouron,9,pseudo,long,simple,PLS,dɛ̃ɡuʁɔ̃,8,3,1,3,0.3333333333,N/A,
yes,ritourque,9,pseudo,long,simple,PLS,ʁituʁk,6,2,3,2,0.2222222222,N/A,
yes,téralemet,9,pseudo,long,simple,PLS,təʁalmɛ,7,4,2,3,0.3333333333,N/A,
,brambouse,9,pseudo,long,simple,PLS,bʁɑ̃buz,6,2,3,2,0.2222222222,N/A,
feminine?,sonsuaine,9,pseudo,long,simple,PLS,sɔ̃syɛn,7,2,2,3,0.3333333333,N/A,
,roduillon,9,pseudo,long,simple,PLS,ʁodyijɔ̃,7,3,2,5,0.5555555556,N/A,
,gariplete,9,pseudo,long,simple,PLS,ɡaʁiplət,7,3,2,3,0.3333333333,N/A,
,tartifuge,9,pseudo,long,simple,PLS,taʁtifyʒ,8,3,1,3,0.3333333333,N/A,
,évandesin,9,pseudo,long,simple,PLS,evɑ̃dzɛ̃,6,4,3,5,0.5555555556,N/A,
