Word,Wordlength,Lexicality,Length,Morphology,Condition,number of phonemes,comments,suggestions,Unnamed: 9,Unnamed: 10,Ali's Input,Old Words (In case switching),Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Syllables,Num Syllables,Num Phonemes,Phonemes
podrome,7,pseudo,long,complex,PLC,,s at the end,antizor,anticorps,,antibody?,,,,,,,po-drome,2,,
nonlexie,8,pseudo,long,complex,PLC,,ent not great,,,,,,,,,,,non-lexie,2,,
instagne,8,pseudo,long,complex,PLC,,,,,,,,,,,,,ins-tagne,2,,
révoutir,8,pseudo,long,complex,PLC,,,déculité,déculloté,,a word,,,,,,,ré-vou-tir,3,,
glonable,8,pseudo,long,complex,PLC,,,glonable,clonable,,cvd cloneable ?,,,,,,,glo-nable,2,,
surgalir,8,pseudo,long,complex,PLC,,,surgalir,,,,,,,,,,sur-ga-lir,3,,
crémosant,9,pseudo,long,complex,PLC,,,multipite,multiple,,,,,,,,,cré-mo-sant,3,,
branvalin,9,pseudo,long,complex,PLC,,,dégotable,mot (qui peut etre dégoté),,,,,,,,,bran-va-lin,3,,
maloriste,9,pseudo,long,complex,PLC,,,,,,feels simple,,,,,,,ma-lo-riste,3,,
récortune,9,pseudo,long,complex,PLC,,,,,,,,,,,,,ré-cor-tune,3,,
incompoir,9,pseudo,long,complex,PLC,,,,,,,,,,,,,in-com-poir,3,,
imigiserai,10,pseudo,long,complex,PLC,,,,,,difficult to pronounce,,,,,,,imi-gi-se-rai,4,,
frutroudit,10,pseudo,long,complex,PLC,,,,,,s at the end,,,,,,,fru-trou-dit,3,,
cudathèque,10,pseudo,long,complex,PLC,,,,,,ent ending,,,,,,,cu-da-thèque,3,,
déclentilé,10,pseudo,long,complex,PLC,,,,,,inverted last l and t if flashed quickly,,,,,,,dé-clen-ti-lé,4,,
féminiseux,10,pseudo,long,complex,PLC,,,,,,,,,,,,,fé-mi-ni-seux,4,,
évandestif,10,pseudo,long,simple,PLS,,,,,,,,,,,,,évan-des-tif,3,,
phalonnule,10,pseudo,long,simple,PLS,,,,,,feels complex,,,,,,,pha-lon-nule,3,,
télandolie,10,pseudo,long,simple,PLS,,,,,,presque germanique ,,,,,,,té-lan-do-lie,4,,
coloccaphe,10,pseudo,long,simple,PLS,,,,,,,,,,,,,co-loc-caphe,3,,
troduiller,10,pseudo,long,simple,PLS,,,,,,hard to pronounce,,,,,,,tro-duiller,2,,
